idealista_id,typology,area_in_m2,floor,region_parish,price_in_euros,seller contact,link_idealista,idealista_ad_title
31508669,T2 ,101, ,campolide,520000,210062154.0,https://www.idealista.pt/imovel/31508669/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
30319965,T3 ,160,7º andar ,campolide,1370000,215553642.0,https://www.idealista.pt/imovel/30319965/,"Apartamento T3 em Centro - Nova Campolide, Campolide"
29897687,T2 ,92,1º andar ,campolide,700000,215553642.0,https://www.idealista.pt/imovel/29897687/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29893223,T2 ,92,1º andar ,campolide,700000,215553642.0,https://www.idealista.pt/imovel/29893223/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29897703,T2 ,97,5º andar ,campolide,780000,215553642.0,https://www.idealista.pt/imovel/29897703/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29897691,T2 ,91,2º andar ,campolide,735000,215553642.0,https://www.idealista.pt/imovel/29897691/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29897698,T2 ,91,1º andar ,campolide,695000,215553642.0,https://www.idealista.pt/imovel/29897698/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29893220,T2 ,92,1º andar ,campolide,715000,215553642.0,https://www.idealista.pt/imovel/29893220/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29893218,T2 ,97,3º andar ,campolide,760000,215553642.0,https://www.idealista.pt/imovel/29893218/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29893214,T2 ,89,5º andar ,campolide,780000,215553642.0,https://www.idealista.pt/imovel/29893214/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29893213,T2 ,89,3º andar ,campolide,775000,215553642.0,https://www.idealista.pt/imovel/29893213/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29893202,T2 ,89,2º andar ,campolide,760000,215553642.0,https://www.idealista.pt/imovel/29893202/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29893189,T1 ,67,1º andar ,campolide,500000,215553642.0,https://www.idealista.pt/imovel/29893189/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
29893204,T2 ,97,4º andar ,campolide,770000,215553642.0,https://www.idealista.pt/imovel/29893204/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29893196,T2 ,101,1º andar ,campolide,745000,215553642.0,https://www.idealista.pt/imovel/29893196/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
29893203,T2 ,95,1º andar ,campolide,735000,215553642.0,https://www.idealista.pt/imovel/29893203/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
