country,region,population,refugees
Afghanistan,South Asia,38928341,72400
Angola,Sub-Saharan Africa,32866268,56100
Albania,Europe & Central Asia,2837743,115
Andorra,Europe & Central Asia,77265,0
United Arab Emirates,Middle East & North Africa,9890400,8560
Argentina,Latin America & Caribbean,45376763,185000
Armenia,Europe & Central Asia,2963234,108000
Antigua and Barbuda,Latin America & Caribbean,97928,0
Australia,East Asia & Pacific,25687041,138000
Austria,Europe & Central Asia,8917205,163000
Azerbaijan,Europe & Central Asia,10110116,1630
Burundi,Sub-Saharan Africa,11890781,80400
Belgium,Europe & Central Asia,11555997,94300
Benin,Sub-Saharan Africa,12123198,1870
Burkina Faso,Sub-Saharan Africa,20903278,20300
Bangladesh,South Asia,164689383,867000
Bulgaria,Europe & Central Asia,6927288,23100
Bahrain,Middle East & North Africa,1701583,360
Bahamas,Latin America & Caribbean,393248,38
Bosnia and Herzegovina,Europe & Central Asia,3280815,5510
Belarus,Europe & Central Asia,9398861,3060
Belize,Latin America & Caribbean,397621,2280
Bolivia,Latin America & Caribbean,11673029,10900
Brazil,Latin America & Caribbean,212559409,420000
Barbados,Latin America & Caribbean,287371,5
Brunei,East Asia & Pacific,437483,0
Bhutan,South Asia,771612,0
Botswana,Sub-Saharan Africa,2351625,1060
Central African Republic,Sub-Saharan Africa,4829764,9370
Canada,North America,38005238,195000
Switzerland,Europe & Central Asia,8636896,122000
Chile,Latin America & Caribbean,19116209,465000
China,East Asia & Pacific,1402112000,304000
Cote d'Ivoire,Sub-Saharan Africa,26378275,2340
Cameroon,Sub-Saharan Africa,26545864,443000
"Congo, Dem. Rep.",Sub-Saharan Africa,89561404,492000
"Congo, Rep.",Sub-Saharan Africa,5518092,40700
Colombia,Latin America & Caribbean,50882884,1750000
Comoros,Sub-Saharan Africa,869595,5
Cape Verde,Sub-Saharan Africa,555988,0
Costa Rica,Latin America & Caribbean,5094114,122000
Cuba,Latin America & Caribbean,11326616,242
Cyprus,Europe & Central Asia,1207361,34500
Czech Republic,Europe & Central Asia,10698896,3500
Germany,Europe & Central Asia,83240525,1450000
Djibouti,Middle East & North Africa,988002,32000
Dominica,Latin America & Caribbean,71991,0
Denmark,Europe & Central Asia,5831404,38000
Dominican Republic,Latin America & Caribbean,10847904,115000
Algeria,Middle East & North Africa,43851043,99800
Ecuador,Latin America & Caribbean,17643060,532000
Egypt,Middle East & North Africa,102334403,329000
Eritrea,Sub-Saharan Africa,3213969,201
Spain,Europe & Central Asia,47351567,207000
Estonia,Europe & Central Asia,1331057,302
Ethiopia,Sub-Saharan Africa,114963583,802000
Finland,Europe & Central Asia,5530719,29800
Fiji,East Asia & Pacific,896444,19
France,Europe & Central Asia,67391582,554000
"Micronesia, Fed. Sts.",East Asia & Pacific,115021,0
Gabon,Sub-Saharan Africa,2225728,562
United Kingdom,Europe & Central Asia,67215293,210000
Ghana,Sub-Saharan Africa,31072945,13900
Guinea,Sub-Saharan Africa,13132792,9580
Gambia,Sub-Saharan Africa,2416664,4590
Guinea-Bissau,Sub-Saharan Africa,1967998,1890
Equatorial Guinea,Sub-Saharan Africa,1402985,0
Greece,Europe & Central Asia,10715549,164000
Grenada,Latin America & Caribbean,112519,239
Guatemala,Latin America & Caribbean,16858333,1250
Guyana,Latin America & Caribbean,786559,23400
